section,metric,value,year,stage,ancestry,entity_type,entity,era,snapshot
annual_ancestry,Participant share (%),1.2001499190596567,2009.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.2872499307934432,2009.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),4.076465555640363,2009.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),85.49745426183722,2010.0,replication,European,,,,
annual_ancestry,Participant share (%),11.338810108464147,2010.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.2472301535078749,2010.0,replication,African,,,,
annual_ancestry,Participant share (%),0.35631373841522584,2010.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.043633433962940414,2010.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),2.5165583038125883,2010.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),72.67972748880386,2011.0,replication,European,,,,
annual_ancestry,Participant share (%),20.858530906367704,2011.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.1718274790143372,2011.0,replication,African,,,,
annual_ancestry,Participant share (%),3.0366625717692033,2011.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.5155813210708349,2011.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),2.737670232974066,2011.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),65.92665256479981,2012.0,replication,European,,,,
annual_ancestry,Participant share (%),26.78807094256543,2012.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.5316430520500222,2012.0,replication,African,,,,
annual_ancestry,Participant share (%),1.4065683324329945,2012.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.5070188175049167,2012.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),4.840046290646835,2012.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),75.61182089632076,2013.0,replication,European,,,,
annual_ancestry,Participant share (%),18.631694591474496,2013.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.45148328101883467,2013.0,replication,African,,,,
annual_ancestry,Participant share (%),3.6989068755409154,2013.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.5400647077583317,2013.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.0660296478866482,2013.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),70.11762338531021,2014.0,replication,European,,,,
annual_ancestry,Participant share (%),25.739864694911436,2014.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.024743205400279106,2014.0,replication,African,,,,
annual_ancestry,Participant share (%),1.849144701171762,2014.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.0515117017847528,2014.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.2171123114215605,2014.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),80.15683897033595,2015.0,replication,European,,,,
annual_ancestry,Participant share (%),15.945210407624174,2015.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.7091867836097574,2015.0,replication,African,,,,
annual_ancestry,Participant share (%),2.137436021233475,2015.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.2840039024573764,2015.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.7673239147392618,2015.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),78.51343931290755,2016.0,replication,European,,,,
annual_ancestry,Participant share (%),11.938733763701293,2016.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.33421394440280666,2016.0,replication,African,,,,
annual_ancestry,Participant share (%),2.7466710404333976,2016.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.4464106183875167,2016.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),5.020531320167432,2016.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),85.5319410589471,2017.0,replication,European,,,,
annual_ancestry,Participant share (%),9.663829804858358,2017.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.344056974694445,2017.0,replication,African,,,,
annual_ancestry,Participant share (%),2.373895157921968,2017.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.7162865263347709,2017.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.3699904772433515,2017.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),74.57380778277893,2018.0,replication,European,,,,
annual_ancestry,Participant share (%),22.844882364514394,2018.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.5014141432628112,2018.0,replication,African,,,,
annual_ancestry,Participant share (%),0.3553309825440684,2018.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.3941092942393774,2018.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.33045543266042043,2018.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),82.9947827727723,2019.0,replication,European,,,,
annual_ancestry,Participant share (%),12.031582202514794,2019.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.9955563941695363,2019.0,replication,African,,,,
annual_ancestry,Participant share (%),0.9458894811600128,2019.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),2.8775487313342873,2019.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.1546404180490694,2019.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),87.36057377211714,2020.0,replication,European,,,,
annual_ancestry,Participant share (%),2.605489219222589,2020.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.3562981283226961,2020.0,replication,African,,,,
annual_ancestry,Participant share (%),2.0996166747410476,2020.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),3.4227960856234265,2020.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),4.155226119973107,2020.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),85.74658750618411,2021.0,replication,European,,,,
annual_ancestry,Participant share (%),3.309200315324676,2021.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.13388235021042738,2021.0,replication,African,,,,
annual_ancestry,Participant share (%),0.6383155172481163,2021.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.9593416937412491,2021.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),8.212672617291423,2021.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),75.0141667860556,2022.0,replication,European,,,,
annual_ancestry,Participant share (%),9.73701616599115,2022.0,replication,Asian,,,,
annual_ancestry,Participant share (%),1.476596887884777,2022.0,replication,African,,,,
annual_ancestry,Participant share (%),6.103990271217776,2022.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),2.8985313269265682,2022.0,replication,Hispanic or Latin American,,,,
